Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-05-01 19:06:50,false,"Varna Running","3.02","210","00:19:44","136","152","158","196","6:32","1:34","4","--","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","19:44","0:00","0.0","0:00","No","00:15.45","4","0.0"
Cardio,2021-04-30 19:05:33,false,"Cardio","0.00","67","00:12:08","98","126","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","12:08","0:00","0.0","0:00","No","12:07.87","1","0.0"
Running,2021-04-28 18:14:24,false,"Varna Running","2.06","166","00:14:35","143","160","155","177","7:04","5:28","7","2","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","14:35","0:00","0.0","0:00","No","00:47.34","3","0.0"
Cardio,2021-04-27 08:35:22,false,"Cardio","0.00","91","00:08:14.7","134","170","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","8:14.7","0:00","0.0","0:00","No","08:14.70","1","0.0"
Running,2021-04-24 21:44:34,false,"Varna Running","5.71","502","01:17:43","117","142","62","232","13:37","2:36","18","21","1.21","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:17:43","0:00","0.0","0:00","No","10:28.78","6","0.0"
Running,2021-04-23 18:36:18,false,"Varna Running","3.01","207","00:19:59","135","150","165","213","6:39","2:51","7","6","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","19:59","0:00","0.0","0:00","No","00:05.48","4","0.0"
Running,2021-04-22 18:43:07,false,"Varna Running","3.04","227","00:22:39","137","163","143","191","7:27","1:04","14","21","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","22:39","0:00","0.0","0:00","No","00:02.30","4","0.0"
Cardio,2021-04-22 18:15:30,false,"Cardio","0.00","128","00:27:24","93","130","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","27:24","0:00","0.0","0:00","No","27:23.66","1","0.0"
Pool Swimming,2021-04-21 19:01:30,false,"Pool Swimming","740","189","00:25:07","--","--","--","--","2:15","1:41","--","--","0.00","0.0","0.0","0.0","0.0","0.0","370","37","22","--","--","25:07","0:00","0.0","0:00","No","05:27.33","2","0.0"
Cardio,2021-04-21 16:44:40,false,"Cardio","0.00","154","00:46:06","82","130","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","46:06","0:00","0.0","0:00","No","46:05.61","1","0.0"
